x,y
22.6533,32.0939
22.657,32.2954
22.6591,32.5012
22.6605,32.7017
22.6634,32.9101
22.6683,33.1155
22.6734,33.3217
22.6771,33.5328
22.6786,33.7332
22.6787,33.9406
22.6778,34.1423
22.6754,34.3438
22.6711,34.5499
22.6662,34.7597
22.6623,34.9666
22.6593,35.1785
22.6569,35.3815
22.6532,35.5923
22.6473,35.8051
22.6401,36.0052
22.6314,36.2181
22.6217,36.4255
22.6103,36.632
22.597,36.84
22.5836,37.0448
22.5704,37.252
22.5572,37.4534
22.5433,37.6567
22.5287,37.8609
22.5135,38.0654
22.4976,38.2696
22.481,38.4725
22.4631,38.6778
22.4423,38.8798
22.4108,39.0819
22.3817,39.291
22.3536,39.4962
22.324,39.698
22.289,39.8966
22.2325,40.0946
22.186,40.2963
22.1326,40.4942
22.0586,40.6896
22.0018,40.8862
21.9433,41.0815
21.875,41.2752
21.7931,41.4711
21.7044,41.66
21.6068,41.8476
21.5047,42.0204
21.3867,42.1936
21.2648,42.3538
21.1308,42.515
20.9901,42.6684
20.843,42.8137
20.6918,42.9504
20.5367,43.0791
20.3769,43.2009
20.2135,43.3166
20.0393,43.4323
19.8653,43.541
19.686,43.645
19.5016,43.7288
19.3035,43.7703
19.0927,43.7741
18.8812,43.7717
18.6767,43.7832
18.5029,43.8824
18.7043,43.8873
18.9053,43.9035
19.1062,43.9315
19.3065,43.9706
19.5081,44.01
19.7072,44.0473
19.912,44.0828
20.1105,44.1122
20.317,44.1426
20.5205,44.1729
20.7212,44.1984
20.929,44.2193
21.1367,44.2372
21.3415,44.2535
21.5465,44.2682
21.7467,44.2811
21.9498,44.2942
22.1599,44.309
22.3682,44.3235
22.571,44.3314
22.7807,44.3405
22.9814,44.351
23.1826,44.3553
23.3884,44.3594
23.5895,44.3645
23.7921,44.3646
23.9925,44.3598
24.1951,44.3532
24.3982,44.3435
24.6002,44.3441
24.803,44.3471
25.0093,44.3502
25.2112,44.3598
25.4194,44.3711
25.6212,44.3788
25.8211,44.3813
26.0266,44.3833
26.2306,44.3852
26.4337,44.3929
26.6392,44.401
26.8399,44.4053
27.0405,44.4124
27.2499,44.4219
27.4528,44.4335
27.6606,44.4427
27.8695,44.4489
28.0726,44.4485
28.2764,44.4461
28.4821,44.4456
28.6829,44.4433
28.8899,44.4426
29.0941,44.4436
29.2974,44.4417
29.5046,44.4414
